,name,birthday,birth_location,grade,no_opinions,awards_str,known_for,best_roles,newest_productions,ranking,awards,nominations,Country_of_birth,City_of_birth,won_oscar
10,Meryl Streep,22 czerwca 1949,"Summit, New Jersey, USA",8.2,108018,"Zdobyła 3 nagrody Oscar, 53 inne nagrody i 121 nominacji","Diabeł ubiera się u Prady, Julie i Julia, Żelazna Dama, Wybór Zofii, Sprawa Kramerów, Mamma Mia!, Łowca jeleni, Godziny, ","Miranda Priestly, Violet Weston, Margaret Thatcher, Zofia Zawistowska, Mary Louise Wright, Clarissa Vaughan, Francesca Johnson, Siostra Aloysius Beauvier, Florence Foster Jenkins, Donna, ","Extrapolations, Nie patrz w górę, Bal, Niech gadają, Wielkie kłamstewka, Małe kobietki, Pralnia, Mary Poppins powraca, Mamma Mia! Here We Go Again, Czwarta władza, Boska Florence, Sufrażystka, Nigdy nie jest za późno, Eskorta, Tajemnice lasu, Dawca pamięci, Sierpień w hrabstwie Osage, Dwoje do poprawki, Żelazna Dama, Julie i Julia, To skomplikowane, Wątpliwość, Mamma Mia!, Ciemna materia, Ukryta strategia, ",63,56,121, USA,Summit,1
11,Christian Bale,30 stycznia 1974,"Haverfordwest, Walia, Wielka Brytania",8.8,106826,"Zdobył Oscar, 21 innych nagród i 47 nominacji","Fighter, Mroczny Rycerz, Batman - Początek, Big Short, American Hustle, Vice, Le Mans '66, I'm Not There. Gdzie indziej jestem, ","Trevor Reznik, Dicky Eklund, Dick Cheney, Ken Miles, Jim „Jamie” Graham, Alfred Borden, Kapitan Joseph J. Blocker, Kleryk John Preston, Irving Rosenfeld, ","Thor: Miłość i grom, The Pale Blue Eye, Untitled David O. Russell Project, Le Mans '66, Vice, Hostiles, Przyrzeczenie, Rycerz pucharów, Big Short, Exodus: Bogowie i królowie, Zrodzony w ogniu, American Hustle, Mroczny Rycerz powstaje, Kwiaty wojny, Fighter, Terminator: Ocalenie, Wrogowie publiczni, Mroczny Rycerz, I'm Not There. Gdzie indziej jestem, 3:10 do Yumy, Operacja Świt, Prestiż, Batman - Początek, Podróż do Nowej Ziemi, Ciężkie czasy, ",23,22,47, Wielka Brytania,Haverfordwest,1
12,Morgan Freeman,1 czerwca 1937,"Memphis, Tennessee, USA",8.5,104425,"Zdobył Oscar, 13 innych nagród i 25 nominacji","Za wszelką cenę, Wożąc panią Daisy, Invictus - Niepokonany, Skazani na Shawshank, Siedem, Bruce Wszechmogący, Cwaniak, Robin Hood: Książę złodziei, ","Somerset, Eddie Scrap-Iron Dupris, Carter Chambers, Hoke Colburn, Monte Wildhorn, Nelson Mandela, Willie Davis, Ned Logan, Bóg, ","The Minute You Wake Up Dead, Bodyguard i żona zawodowca, Solówki, Książę w Nowym Jorku 2, Uwikłana, Cwaniaki z Hollywood, Fast Times at Ridgemont High Table Read, Świat w ogniu, Zatruta róża, Dziadek do orzechów i cztery królestwa, W starym, dobrym stylu, To dopiero początek, Londyn w ogniu, Ben-Hur, Iluzja 2, Ostatni rycerze, Ted 2, Momentum, Wish Wizard, Mój przyjaciel delfin 2: Ocalić Mandy, Transcendencja, Lucy, Przeprowadzka, Iluzja, Niepamięć, ",91,14,25, USA,Memphis,1
13,Anthony Hopkins,31 grudnia 1937,"Port Talbot, Walia, Wielka Brytania",8.9,102494,"Zdobył 2 nagrody Oscar, 21 innych nagród i 50 nominacji","Milczenie owiec, Ojciec, Okruchy dnia, Cienista dolina, Amistad, Hannibal, Dwóch papieży, Westworld, ","Anthony, James Stevens, Burt Munro, Jack Lewis, Pułkownik William Ludlow, Tytus Andronikus, ","Arabian Nights, Hemingway & Fuentes, Wirtuoz. Pojedynek zabójców, Zero Contact, Ojciec, Elyse, Dwóch papieży, Now Is Everything, Westworld, Król Lear, Thor: Ragnarok, Transformers: Ostatni Rycerz, Zderzenie, Pozory prawdy, Ukojenie, Porwanie Heinekena, Blackway, Garderobiany, Noe: Wybrany przez Boga, Thor: Mroczny świat, Red 2, Hitchcock, Thor, Rytuał, 360. Połączeni, ",7,23,50, Wielka Brytania,Port Talbot,1
14,Scarlett Johansson,22 listopada 1984,"Nowy Jork, Nowy Jork, USA",8.2,98390,"Zdobyła BAFTA, 14 innych nagród i 90 nominacji","Między słowami, Avengers: Wojna bez granic, Historia małżeńska, Avengers 3D, Vicky Cristina Barcelona, Avengers: Koniec gry, Czarna Wdowa, Kapitan Ameryka: Wojna bohaterów, ","Nicole Barber, Rosie, Charlotte, Nola Rice, Griet, ","Asteroid City, Czarna Wdowa, Avengers: Koniec gry, Jojo Rabbit, Kapitan Marvel, Historia małżeńska, Avengers: Wojna bez granic, Ghost in the Shell, Ostra noc, Ave, Cezar!, Kapitan Ameryka: Wojna bohaterów, Avengers: Czas Ultrona, Kapitan Ameryka: Zimowy Żołnierz, Szef, Lucy, Pod skórą, Don Jon, Avengers, Hitchcock, Kupiliśmy zoo, Iron Man 2, Kobiety pragną bardziej, Kochanice króla, Spirit - Duch Miasta, Vicky Cristina Barcelona, ",52,15,90, USA,Nowy Jork,0
15,Benedict Cumberbatch,19 lipca 1976,"Londyn, Anglia, Wielka Brytania",8.8,95117,"Zdobył Nagroda Filmwebu, 10 innych nagród i 49 nominacji","Sherlock, Hobbit 2: Pustkowie Smauga, Psie pazury, Patrick Melrose, Gra tajemnic, Doktor Strange, Zniewolony. 12 Years a Slave, W ciemność. Star Trek, ","Patrick Melrose, Nekromanta, Alan Turing, Phil Burbank, James, ","Doktor Strange w multiwersum obłędu, Rio, The 39 Steps, Psie pazury, Szalony świat Louisa Waina, Mauretańczyk, Spider-Man: Bez drogi do domu, Gra szpiegów, Brexit, 1917, Avengers: Koniec gry, Between Two Ferns: Film, Avengers: Wojna bez granic, Patrick Melrose, Sherlock, Thor: Ragnarok, Wojna o prąd, Dziecko w czasie, Doktor Strange, Zoolander No. 2, Pakt z diabłem, Gra tajemnic, 9 Kisses, Hobbit: Pustkowie Smauga, W ciemność. Star Trek, ",20,11,49, Wielka Brytania,Londyn,0
16,Helena Bonham Carter,26 maja 1966,"Londyn, Anglia, Wielka Brytania",8.7,91421,"Zdobyła BAFTA, 8 innych nagród i 45 nominacji","Jak zostać królem, The Crown, Nędznicy, Miłość i śmierć w Wenecji, Enid, Sweeney Todd: Demoniczny golibroda z Fleet Street, Alicja w Krainie Czarów, Alicja po drugiej stronie lustra, ","Jane Hatchard, Pani Lovett, Marla Singer, Iracebeth, Księżniczka Małgorzata, ","Enola Holmes 2, Ten Percent, The Cleaner, The Crown, Enola Holmes, Ocean's 8, 55 Kroków, Alicja po drugiej stronie lustra, Codes of Conduct, Listy od Niny, Kopciuszek, Sufrażystka, Worricker - Drugie starcie, Worricker - ostateczna rozgrywka, Harry Potter and the Escape from Gringotts, Jeździec znikąd, Świat według Spiveta, Burton i Taylor, Mroczne cienie, Wielkie nadzieje, Les Misérables: Nędznicy, A Therapy, Harry Potter i Insygnia Śmierci: Część II, Harry Potter i Insygnia Śmierci: Część I, Alicja w Krainie Czarów, ",2,9,45, Wielka Brytania,Londyn,0
17,Gary Oldman,21 marca 1958,"Londyn, Anglia, Wielka Brytania",8.6,91531,"Zdobył Oscar, 11 innych nagród i 34 nominacje","Czas mroku, Dracula, Szpieg, Harry Potter i więzień Azkabanu, Mank, Air Force One, Rosencrantz i Guildenstern nie żyją, Zagubieni w kosmosie, ","Norman Stansfield, Winston Churchill, Sid Vicious, Ludwig van Beethoven, Rosencrantz, Jackie Flannery, Drexl Spivey, George Smiley, ","Flying Horse, Oppenheimer, Kulawe konie, Kobieta w oknie, Crisis, Bodyguard i żona zawodowca, Mank, Anonimowi mordercy, Zabójcza przesyłka, Pralnia, Morze strachu, Ocean ognia, Między nami kosmos, Bodyguard Zawodowiec, Czas mroku, Umysł przestępcy, System, Zmowa, RoboCop, Ewolucja planety małp, Paranoja, Mroczny Rycerz powstaje, Gangster, Harry Potter i Insygnia Śmierci: Część II, Dziewczyna w czerwonej pelerynie, ",42,12,34, Wielka Brytania,Londyn,1
18,Bradley Cooper,5 stycznia 1975,"Filadelfia, Pensylwania, USA",8.3,79160,"Zdobył BAFTA, 12 innych nagród i 75 nominacji","Poradnik pozytywnego myślenia, Narodziny gwiazdy, Snajper, American Hustle, Kac Vegas, Wszystko o Stevenie, Jestem Bogiem, Kac Vegas w Bangkoku, ","Jack, Christopher Scott ""Chris"" Kyle, Eddie Morra, Patrizio ""Pat Jr."" Solitano, Phil Wenneck, Stanton Carlisle, Adam Jones, Jon Peters, Phil Wenneck, Phil Wenneck, ","Atlantic Wall, Maestro, Zaułek koszmarów, Licorice Pizza, Narodziny gwiazdy, Przemytnik, Rekiny wojny, Witamy na Hawajach, Ugotowany, Joy, Wet Hot American Summer: First Day of Camp, Baby, Baby, Baby, Serena, Snajper, Kac Vegas III, American Hustle, Making a Scene, Między wierszami, Drugie oblicze, Poradnik pozytywnego myślenia, Bij i wiej, Kac Vegas w Bangkoku, Jestem Bogiem, Kaylien, Drużyna A, ",132,13,75, USA,Filadelfia,0
19,Jennifer Lawrence,15 sierpnia 1990,"Louisville, Kentucky, USA",8.2,87757,"Zdobyła Oscar, 46 innych nagród i 63 nominacje","American Hustle, Igrzyska śmierci II: W pierścieniu ognia, Igrzyska śmierci: Kosogłos. Część 1, X-Men: Przeszłość, która nadejdzie, Igrzyska śmierci: Kosogłos. Część 2, Joy, Do szpiku kości, Granice miłości, ","Matka, Tiffany Maxwell, Rosalyn Rosenfeld, Dominika Jegorowa, Katniss Everdeen, Ree Dolly, Kate Dibiasky, Katniss Everdeen, Katniss Everdeen, Katniss Everdeen, ","No Hard Feelings, Bad Blood, Mob Girl, Red, White and Water, Nie patrz w górę, X-Men: Mroczna Phoenix, Czerwona jaskółka, mother!, X-Men: Apocalypse, Pasażerowie, Igrzyska śmierci: Kosogłos. Część 2, Joy, X-Men: Przeszłość, która nadejdzie, Serena, Igrzyska śmierci: Kosogłos. Część 1, The Devil You Know, Igrzyska śmierci: W pierścieniu ognia, American Hustle, Igrzyska śmierci, Dom na końcu ulicy, Poradnik pozytywnego myślenia, Podwójne życie, X-Men: Pierwsza klasa, Do szaleństwa, Do szpiku kości, ",49,47,63, USA,Louisville,1
20,Woody Harrelson,23 lipca 1961,"Midland, Teksas, USA",8.4,87649,"Zdobył Emmy, 7 innych nagród i 39 nominacji","To nie jest kraj dla starych ludzi, Trzy billboardy za Ebbing, Missouri, Cienka czerwona linia, Niemoralna propozycja, W imieniu armii, Detektyw, Igrzyska śmierci, Urodzeni mordercy, ","Mickey Knox, Rex, Larry Flynt, Wilson, Pan Bruner, Willoughby, Haymitch Abernathy, Tallahassee, Haymitch Abernathy, ","The Man from Toronto, Venom 2: Carnage, Kate, Zombieland: Kulki w łeb, The Highwaymen, Midway, Han Solo: Gwiezdne wojny - historie, Venom, Szklany zamek, Wojna o planetę małp, Wilson, Trzy billboardy za Ebbing, Missouri, Fałszywe powody, Lost in London, Psy mafii, Iluzja 2, Pojedynek, LBJ, Gorzka siedemnastka, Igrzyska śmierci: Kosogłos. Część 2, Detektyw, Igrzyska śmierci: Kosogłos. Część 1, Iluzja, Zrodzony w ogniu, Igrzyska śmierci: W pierścieniu ognia, ",116,8,39, USA,Midland,0
21,Natalie Portman,9 czerwca 1981,"Jerozolima, Izrael",8.5,87045,"Zdobyła Oscar, 17 innych nagród i 51 nominacji","Czarny łabędź, W jak wendeta, Gwiezdne wojny: Część II - Atak klonów, Jackie, Bliżej, Gwiezdne wojny: Część I - Mroczne widmo, Gwiezdne wojny III - Zemsta Sithów, Powrót do Garden State, ","Nina Sayers, Matylda, Jackie Kennedy, Celeste, Alice, Fania, Laura Barlow, Inés / Alicia, Evey Hammond, Lena, ","We Are All Completely Beside Ourselves, Thor: Miłość i grom, The Days of Abandonment, Lucy wśród gwiazd, Avengers: Koniec gry, Anihilacja, The Death and Life of John F. Donovan, Vox Lux, Song to Song, Jackie, Planetarium, Rycerz pucharów, Niepokonana Jane, Opowieść o miłości i mroku, The Heyday of the Insensitive Bastards, Thor: Mroczny świat, Wasza wysokość, Thor, Sex Story, Hesher, Czarny łabędź, Bracia, Miłość i inne komplikacje, Kochanice króla, Zakochany Nowy Jork, ",12,18,51, Izrael,Jerozolima,1
22,Edward Norton,18 sierpnia 1969,"Boston, Massachusetts, USA",8.8,85248,"Zdobył Złoty Glob, 11 innych nagród i 32 nominacje","Lęk pierwotny, Birdman czyli (Nieoczekiwane pożytki z niewiedzy), Więzień nienawiści, Skandalista Larry Flynt, Wszyscy mówią: kocham cię, Osierocony Brooklyn, Podziemny krąg, Grand Budapest Hotel, ","Aaron Stampler / Roy, Derek Vinyard, Jack / Brian, Mike, Walter Fane, Lionel Essrog, Monty Brogan, Eisenheim, Will Graham, ","Extrapolations, Kurier Francuski z Liberty, Kansas Evening Sun, Osierocony Brooklyn, Alita: Battle Angel, Ukryte piękno, Grand Budapest Hotel, Birdman, Kochankowie z Księżyca. Moonrise Kingdom, Dziedzictwo Bourne'a, Stone, Co w trawce piszczy?, Było sobie kłamstwo, W cieniu chwały, Incredible Hulk, Iluzjonista, Malowany welon, Dolina iluzji, Królestwo niebieskie, Włoska robota, Frida, Czerwony smok, Smoochy, 25. godzina, Rozgrywka, Zakazany owoc, ",17,12,32, USA,Boston,0
23,Joaquin Phoenix,28 października 1974,"San Juan, Portoryko",9.2,85709,"Zdobył Oscar, 13 innych nagród i 48 nominacji","Gladiator, Joker, Mistrz, Nigdy cię tu nie było, Spacer po linie, Wada ukryta, Zatrute pióro, Ona, ","Freddie Quell, Johnny, Kommodus, Johnny Cash, Theodore Twombly, John Callahan, Joe, Larry ""Doc"" Sportello, Charlie Sisters, ","Kitbag, Disappointment Blvd., C'mon C'mon, Far Bright Star, Joker, Maria Magdalena, Bracia Sisters, Bez obaw, daleko nie zajdzie, Lou, Nigdy cię tu nie było, Nieracjonalny mężczyzna, Wada ukryta, Ona, Imigrantka, Mistrz, Kochankowie, Królowie nocy, Droga do przebaczenia, Spacer po linie, Płonąca pułapka, Osada, Hotel Ruanda, Wszystko dla miłości, Znaki, Buffalo Soldiers, ",1,14,48, Portoryko,San Juan,1
24,Clint Eastwood,31 maja 1930,"San Francisco, Kalifornia, USA",8.9,65328,"Zdobył 4 nagrody Oscar, 32 inne nagrody i 69 nominacji","Gran Torino, Bez przebaczenia, Snajper, Brudny Harry, Co się wydarzyło w Madison County, Nagłe zderzenie, Krwawa profesja, Kosmiczni kowboje, ","Bezimienny rewolwerowiec ""Blondas"", Bezimienny rewolwerowiec, William ""Bill"" Munny, Bezimienny rewolwerowiec, Frankie Dunn, Josey Wales, Nieznajomy, ","Cry Macho, Przemytnik, Snajper, Dopóki piłka w grze, Gran Torino, Za wszelką cenę, Krwawa profesja, Kosmiczni kowboje, Prawdziwa zbrodnia, Władza absolutna, Co się wydarzyło w Madison County, Doskonały świat, Na linii ognia, Bez przebaczenia, Biały myśliwy, czarne serce, Żółtodziób, Różowy cadillac, Pula śmierci, Wzgórze Rozdartych Serc, Niesamowity jeździec, Gorący towar, Lina, Nagłe zderzenie, Firefox, Droga do Nashville, ",6,36,69, USA,San Francisco,1
25,Matthew McConaughey,4 listopada 1969,"Uvalde, Teksas, USA",8.7,81891,"Zdobył Oscar, 15 innych nagród i 26 nominacji","Witaj w klubie, Magic Mike, Detektyw, Czas zabijania, Uciekinier, Bernie, Zabójczy Joe, Interstellar, ","Ron Woodroof, Kenny Wells, Cooper, Jake Tyler Brigance, Moondog, Mark Hanna, Mick Haller, Mickey Pearson, Zabójca Joe Cooper, ","Fast Times at Ridgemont High Table Read, Przynęta, Plażowy haj, Dżentelmeni, Between Two Ferns: Film, Kokainowy Rick, Mroczna wieża, Gold, Rebeliant, Morze drzew, Detektyw, Interstellar, Witaj w klubie, Wilk z Wall Street, Synthesizers, Pokusa, Magic Mike, Uciekinier, Prawnik z Lincolna, Zabójczy Joe, Bernie, Duchy moich byłych, Nie wszystko złoto, co się świeci, Surfer, Jaja w tropikach, ",28,16,26, USA,Uvalde,1
26,Harrison Ford,13 lipca 1942,"Chicago, Illinois, USA",8.6,81814,"Zdobył 2 nagrody Saturn, 4 inne nagrody i 19 nominacji","Gwiezdne wojny IV - Nowa nadzieja, Indiana Jones: Poszukiwacze zaginionej Arki, Gwiezdne wojny: Przebudzenie Mocy, Ścigany, Indiana Jones i Królestwo Kryształowej Czaszki, Indiana Jones i ostatnia krucjata, Blade Runner 2049, Indiana Jones i Świątynia Zagłady, ","Dr Richard Kimble, Doktor Richard Walker, William Jones, ","Untitled Indiana Jones Project, Zew krwi, Gwiezdne wojny: Skywalker. Odrodzenie, Blade Runner 2049, Gwiezdne wojny: Przebudzenie Mocy, Wiek Adaline, Niezniszczalni 3, Gra Endera, 42 – Prawdziwa historia amerykańskiej legendy, Paranoja, Legenda telewizji 2: Kontynuacja, Kowboje i obcy, Środki nadzwyczajne, Dzień dobry TV, Ścigani, Indiana Jones i Królestwo Kryształowej Czaszki, Firewall, Water to Wine, Wydział zabójstw, Hollywood, K-19, Co kryje prawda, Zagubione serca, Sześć dni, siedem nocy, Air Force One, Zdrada, ",55,6,19, USA,Chicago,0
